query,clicks,impressions,ctr,position,commercial_intent,opportunity_index
financial accounting services,0,107,0,15.523364485981308,True,36.66
mis report meaning in tamil,0,86,0,5.686046511627907,False,36.07
ngo itr filing last date,0,88,0,11.147727272727273,True,35.58
12a registration,1,103,0.009708737864077669,15.553398058252426,True,34.92
salaried person itr,0,86,0,11.05813953488372,True,34.91
gst transaction limit,0,73,0,7.986301369863014,True,34.87
sebi interim order gensol engineering blusmart april 2025 pdf,0,106,0,9.31132075471698,False,34.74
mca due date extension,0,108,0,10.157407407407407,False,33.89
mumbai tax consultants,0,65,0,6.707692307692308,True,33.88
when to file itr,0,64,0,6.515625,True,33.85
gst due date july 2026,2,57,0.03508771929824561,4.824561403508772,True,33.8
ca firm near me,2,67,0.029850746268656716,6.850746268656716,True,33.53
bank turnover limit,2,64,0.03125,3.4375,False,33.44
form 10bd late fees,0,99,0,8.90909090909091,False,33.17
chartered accountant near me,1,54,0.018518518518518517,4.685185185185185,True,33.06
due date of agm for fy 2020-21,0,99,0,9.131313131313131,False,32.76
how many days tds refund will be credited,0,74,0,9.35135135135135,True,32.67
how many days income tax refund will be credited,0,72,0,9.083333333333334,True,32.25
tds due date june 2026,0,51,0,4.568627450980392,True,32.21
income tax filing near me,0,52,0,4.75,True,32.21
allahabad hc quashes gst fir,0,69,0,8.46376811594203,True,32.02
crypto trading itr filing,2,62,0.03225806451612903,6.435483870967742,True,31.93
after filing itr how many days to refund,0,81,0,11.74074074074074,True,31.91
in how many days tax refund will be credited,0,79,0,11.417721518987342,True,31.56
accounting outsourcing companies in mumbai,1,87,0.011494252873563218,13.563218390804598,True,31.52
how many days for itr refund,0,80,0,11.775,True,31.47
donation form 10bd,0,79,0,6.417721518987341,False,31.18
sebi interim order gensol engineering april 2025 pdf,0,83,0,7.120481927710843,False,31.1
catering services income tax code,0,57,0,6.12280701754386,True,31.1
what is form 10bd,0,76,0,5.9868421052631575,False,31.06
agm due date for fy 2021-22,0,94,0,9.627659574468085,False,30.29
tax consulting firms,0,68,0,9.191176470588236,True,30.28
ca firms near me,0,93,0,17.365591397849464,True,30.13
doctor business code in itr,0,55,0,6.090909090909091,True,30.09
can i pay income tax using upi,0,71,0,10.253521126760564,True,29.93
what itr should be filed by retail trader,0,55,0,6.254545454545455,True,29.69
how to pay income tax online through upi,0,64,0,8.609375,True,29.45
how to pay income tax through upi,0,65,0,8.953846153846154,True,29.33
income tax consultant near me,0,69,0,10.101449275362318,True,29.31
how to apply 12a registration online,1,58,0.017241379310344827,6.931034482758621,True,29.23
tds refund how many days,0,65,0,9.046153846153846,True,29.18
fast ds,6,96,0.0625,9.53125,False,29.15
itr filing for crypto trading,1,61,0.01639344262295082,7.80327868852459,True,29.0
sebi interim order gensol blusmart april 2025 pdf,0,92,0,10.08695652173913,False,28.97
salon business code in income tax,0,61,0,8.21311475409836,True,28.73
tds payment due date for july 2026,0,61,0,8.21311475409836,True,28.73
if i file itr when will i get refund,0,63,0,8.920634920634921,True,28.48
late fee waiver meaning,0,63,0,5.0476190476190474,False,28.04
principles of accounting,0,63,0,9.206349206349206,True,28.03
refund expected,0,82,0,8.573170731707318,False,28.01
ca mumbai,0,57,0,7.614035087719298,True,27.89
medical profession business code in income tax,0,50,0,5.86,True,27.88
business code for medical store in income tax,0,51,0,6.1568627450980395,True,27.75
itr refund in how many days,0,70,0,11.714285714285714,True,27.61
gstr 1 due date for july 2026,0,71,0,6.633802816901408,False,27.57
how many days after filing itr refund is processed,0,66,0,10.666666666666666,True,27.28
how many days it will take to get tds refund,0,62,0,9.435483870967742,True,27.25
waiver of late fee meaning,0,55,0,4.127272727272727,False,27.07
10bd due date,2,55,0.03636363636363636,3.8727272727272726,False,26.93
form 11 and form 8 due date,0,66,0,6.03030303030303,False,26.88
gst tds last date,0,54,0,7.407407407407407,True,26.79
business code for doctors in itr 4,0,54,0,7.648148148148148,True,26.36
sebi interim order gensol april 15 2025 pdf,0,68,0,6.720588235294118,False,26.23
section 44bbc of income tax act,0,59,0,9.338983050847459,True,26.06
income tax business code for medical store,0,55,0,8.127272727272727,True,26.04
accounting consulting services,0,70,0,13.457142857142857,True,25.76
mca annual filing extension due date,0,64,0,11.265625,True,25.74
crypto itr form,0,54,0,8.037037037037038,True,25.71
আইটিআর পরিচালিত পরিষেবা প্রদানকারীর জরিমানা,0,76,0,8.907894736842106,False,25.46
accounting and consulting services,0,65,0,12.015384615384615,True,25.32
mis reports means,0,104,0,16.971153846153847,False,25.25
itr filing services near me,1,50,0.02,7.06,True,24.9
gst last date 2026,0,60,0,10.65,True,24.82
form 10 bd due date,0,75,0,9.426666666666666,False,24.43
form 10ab,0,79,0,10.468354430379748,False,24.42
mid size ca firms in mumbai,0,62,0,11.951612903225806,True,24.21
accounting service,1,50,0.02,7.64,True,23.93
tax advisor,0,68,0,15.102941176470589,True,23.62
top ca firm in mumbai,0,50,0,8.379999999999999,True,23.32
misreport,0,67,0,8.268656716417912,False,23.3
medical shop business code for itr,0,52,0,9.096153846153847,True,23.28
when to file itr for 2025-26,0,57,0,11.12280701754386,True,23.07
12aa registration,0,69,0,16.36231884057971,True,23.03
sebi interim order gensol blusmart april 15 2025 pdf,0,72,0,9.833333333333334,False,22.96
when can i expect my itr refund,0,55,0,11.2,True,22.19
mis reporting means,0,70,0,10.271428571428572,False,21.84
itr filing time,0,50,0,9.68,True,21.7
how many days to get itr refund,0,53,0,10.981132075471699,True,21.59
gst return filing service,1,64,0.015625,15.828125,True,21.38
accounting consultant,0,61,0,14.885245901639344,True,21.34
after itr filing how many days to refund,0,52,0,10.846153846153847,True,21.32
how many days itr refund takes after processed,0,52,0,10.865384615384615,True,21.3
online accounting services,0,64,0,16.5,True,21.27
tax accountant,0,67,0,18.73134328358209,True,20.9
tds return filing in mumbai,0,52,0,11.307692307692308,True,20.88
gst return filing service provider,0,59,0,15.220338983050848,True,20.42
12a and 80g renewal process online,0,62,0,9.709677419354838,False,19.9
25 august 2026 account,0,58,0,8.741379310344827,False,19.62
ca firms mumbai,1,52,0.019230769230769232,12.73076923076923,True,19.3
finance and accounting consulting services,0,61,0,18.475409836065573,True,19.16
10bd late fee,0,56,0,8.678571428571429,False,19.01
sebi confirmatory order gensol july 2025 official,0,50,0,7.22,False,18.61
itruu cafe,0,55,0,9.309090909090909,False,18.03
itr for salaried person,0,51,0,14.980392156862745,True,17.79
sebi interim order gensol engineering april 15 2025 pdf blusmart,0,56,0,9.946428571428571,False,17.76
tax consultants in india,1,52,0.019230769230769232,15.26923076923077,True,17.62
fast ds 2026 scheme,0,52,0,9.038461538461538,False,17.3
fast ds scheme,1,51,0.0196078431372549,8.431372549019608,False,17.22
principles of accounts,0,53,0,10.132075471698114,False,16.65
accountant consulting,0,60,0,16.75,False,14.66
