url,final_url,status,redirect_hops,redirect_chain,response_ms,bytes,content_type,cache_control,x_robots_tag,hsts,in_sitemap,lastmod,indexable,canonical,canonical_issue,meta_robots,title,title_length,meta_description,meta_length,h1_count,h1s,h2_count,word_count,image_count,images_missing_alt,images_empty_alt,form_count,form_fields,tel_links,whatsapp_links,schema_blocks,schema_types,schema_errors,gtm_ids,ga_ids,inbound_links,contextual_inbound_links,click_depth,page_type
https://cashahnawaz.com/allahabad-hc-gst-assessment-quashed/,https://cashahnawaz.com/allahabad-hc-gst-assessment-quashed/,200,0,,378,316338,text/html; charset=UTF-8,,,,True,2026-06-23T09:13:31+00:00,True,https://cashahnawaz.com/allahabad-hc-gst-assessment-quashed/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Allahabad HC Quashes GST Assessment | Shahnawaz and Associates,62,Shahnawaz and Associates explains Allahabad HC ruling: GST assessment under Section 62 quashed for no notice under Section 46. Protecting taxpayers’ right to fair hearing.,171,1,Allahabad HC Quashes GST Assessment for Lack of Notice,12,1801,9,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,13,4,4,page
https://cashahnawaz.com/allahabad-high-court-gst-demand-beyond-show-cause-notice-quashed/,https://cashahnawaz.com/allahabad-high-court-gst-demand-beyond-show-cause-notice-quashed/,200,0,,384,320947,text/html; charset=UTF-8,,,,True,2026-06-23T09:03:28+00:00,True,https://cashahnawaz.com/allahabad-high-court-gst-demand-beyond-show-cause-notice-quashed/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",GST Demand Beyond Notice Quashed By HC | Shahnawaz and Associates,65,"Shahnawaz and Associates explains Allahabad HC ruling: GST demand exceeding show-cause notice violates Section 75(7) and natural justice, protecting taxpayer rights.",165,1,Allahabad HC: GST Demand Beyond Show-Cause Notice Quashed,12,1850,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,15,5,3,page
https://cashahnawaz.com/allahabad-high-court-gst-excess-stock-confiscation/,https://cashahnawaz.com/allahabad-high-court-gst-excess-stock-confiscation/,200,0,,335,321776,text/html; charset=UTF-8,,,,True,2026-06-23T08:59:35+00:00,True,https://cashahnawaz.com/allahabad-high-court-gst-excess-stock-confiscation/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Allahabad HC On GST Excess Stock Confiscation | Shahnawaz and Associates,72,Shahnawaz and Associates explains Allahabad HC ruling: Excess stock found in survey cannot trigger Section 130 confiscation. GST tax must be assessed under Sections 73/74.,171,1,Allahabad HC Quashes GST Confiscation for Excess Stock,12,2050,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,15,5,3,page
https://cashahnawaz.com/allotment-letter-and-bank-payment-saves-from-addition-under-section-562x/,https://cashahnawaz.com/allotment-letter-and-bank-payment-saves-from-addition-under-section-562x/,200,0,,362,278087,text/html; charset=UTF-8,,,,True,2026-06-18T12:06:04+00:00,True,https://cashahnawaz.com/allotment-letter-and-bank-payment-saves-from-addition-under-section-562x/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Allotment Letter And Bank Payment Saves From Addition Under Section 56(2)(x): ITAT Favors Buyer,95,"The Income Tax Appellate Tribunal (ITAT) ruled in favor of the taxpayer, stating that since the payment was made via banking channels before the initial booking, the property's value in 2011 must be used for tax purposes, not the inflated 2017 value.",250,1,Allotment letter and bank payment saves from addition under Section 56(2)(x): ITAT favors Buyer,7,1845,11,0,2,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,179,114,2,page
https://cashahnawaz.com/amnesty-scheme-the-scheme-maharashtra-settlement-of-arrears-of-tax-interest-penalty-or-late-fee-scheme-2022/,https://cashahnawaz.com/amnesty-scheme-the-scheme-maharashtra-settlement-of-arrears-of-tax-interest-penalty-or-late-fee-scheme-2022/,200,0,,4304,272677,text/html; charset=UTF-8,,,,False,,True,https://cashahnawaz.com/amnesty-scheme-the-scheme-maharashtra-settlement-of-arrears-of-tax-interest-penalty-or-late-fee-scheme-2022/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Amnesty Settlement Scheme - Interest, Penalty, Late Fee",55,Amnesty Settlement Scheme - Maharashtra Government amnesty on 11th of March 2022 has announced “the Amnesty Scheme 2022” to settle Old cases of Sales Tax Department.,165,1,"The scheme Maharashtra Settlement of Arrears of Tax, interest, penalty or late fee scheme 2022",7,1537,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,12,2,3,page
https://cashahnawaz.com/annual-compliances-for-private-limited-company/,https://anamca.com/services/annual-compliances-for-private-limited-company/,200,1,301:https://cashahnawaz.com/annual-compliances-for-private-limited-company/,604,333353,text/html; charset=UTF-8,no-cache,,,False,,True,https://anamca.com/services/annual-compliances-for-private-limited-company/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Annual Compliances For Private Limited Company - Anam CA,56,What is Annual Compliances for Private limited company? How to register a company in India? Contact Anam CA @ +91 076201 44726 or email at ca.anamshaikh@gmail.com!,163,1,Annual Compliances For Private Limited Company,11,1964,4,0,0,1,7,tel:+917620144726; tel:+919987752030; tel:076201%2044726; tel:07620144726,https://wa.me/917620144726,2,Answer; Article; BreadcrumbList; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Organization; Person; Place; PostalAddress; Question; WebPage; WebSite,0,GTM-WV5SVHJK,G-WM2MWWHY3Y,1,1,4,service
https://cashahnawaz.com/audit-services/,https://cashahnawaz.com/audit-services/,200,0,,389,293455,text/html; charset=UTF-8,,,,True,2026-07-29T14:45:28+00:00,True,https://cashahnawaz.com/audit-services/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Trusted Audit Services | Shahnawaz And Associates,49,"Choose Shahnawaz And Associates for statutory, tax, GST and internal audit services that improve compliance and business confidence.",132,1,Tax Audit & Statutory Audit in India — Complete Guide for FY 2025-26 (AY 2026-27),14,3264,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BreadcrumbList; ListItem,0,GTM-N2LHGRCX,,783,41,1,service
https://cashahnawaz.com/avoid-these-common-mistakes-in-writing-books-of-accounts/,https://cashahnawaz.com/avoid-these-common-mistakes-in-writing-books-of-accounts/,200,0,,385,294950,text/html; charset=UTF-8,,,,True,2026-05-06T07:24:00+00:00,True,https://cashahnawaz.com/avoid-these-common-mistakes-in-writing-books-of-accounts/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Avoid These Common Mistakes In Writing Books Of Accounts!,57,Hiring a good Accountant is one of the tedious tasks nowadays for your accounting services. Many Businessman faces many issues at the time of Audit or when,155,1,Avoid These Common Mistakes In Writing Books Of Accounts:,13,2542,15,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,16,5,3,page
https://cashahnawaz.com/best-time-to-file-itr/,https://cashahnawaz.com/best-time-to-file-itr/,200,0,,396,292613,text/html; charset=UTF-8,,,,True,2026-06-24T06:51:13+00:00,True,https://cashahnawaz.com/best-time-to-file-itr/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Best Time To File ITR FY 2025-26 | Shahnawaz And Assocaites,59,"As a taxpayer, you might feel the urge to file your Income Tax Return (ITR) exactly on April 1st, or you might be the person who waits until July 31st . what's best find here.",175,2,Best Time to file ITR FY 2025-26; The Ultimate ITR Filing Guide for FY 2025-26,9,1567,11,0,2,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,20,8,2,page
https://cashahnawaz.com/big-relief-for-taxpayers-whose-gst-number-got-canceled-due-to-non-filing-of-gst-returns/,https://cashahnawaz.com/big-relief-for-taxpayers-whose-gst-number-got-canceled-due-to-non-filing-of-gst-returns/,200,0,,390,273883,text/html; charset=UTF-8,,,,True,2023-04-08T08:27:33+00:00,True,https://cashahnawaz.com/big-relief-for-taxpayers-whose-gst-number-got-canceled-due-to-non-filing-of-gst-returns/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Big Relief For Taxpayers | Revocation Request & Appeal,54,Get a big relief for taxpayer by learning about the revocation request and appeal process for cancelled GST registration numbers. Stay updated with Shahnawaz and Associates.,173,1,Big Relief for Taxpayers whose GST Number got canceled due to non Filing of GST returns,10,1476,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,14,3,3,service
https://cashahnawaz.com/blog-bank-transaction-limits-tax-rules-every-mumbai-freelancer-must-know-2026/,https://cashahnawaz.com/blog-bank-transaction-limits-tax-rules-every-mumbai-freelancer-must-know-2026/,200,0,,448,276525,text/html; charset=UTF-8,,,,True,2026-05-11T07:02:15+00:00,True,https://cashahnawaz.com/blog-bank-transaction-limits-tax-rules-every-mumbai-freelancer-must-know-2026/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Bank Transaction Limits Explained | Income Tax & GST Rules For Freelancers & Small Business - Shahnawaz And Associates,118,"A very common question business owners, freelancers, and influencers ask is: ""What is the maximum bank transaction limit before the Income Tax Department",153,1,Bank Transaction Limits Explained | Income Tax & GST Rules for Freelancers & Small Business,7,2013,12,0,2,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,18,6,3,page
https://cashahnawaz.com/blog-the-ultimate-guide-to-form-10bd-ngo-compliance-rules-penalties-and-the-transition-to-form-113/,https://cashahnawaz.com/blog-the-ultimate-guide-to-form-10bd-ngo-compliance-rules-penalties-and-the-transition-to-form-113/,200,0,,387,285740,text/html; charset=UTF-8,,,,True,2026-06-18T12:07:48+00:00,True,https://cashahnawaz.com/blog-the-ultimate-guide-to-form-10bd-ngo-compliance-rules-penalties-and-the-transition-to-form-113/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","The Ultimate Guide To Form 10BD: NGO Compliance, Rules, Penalties, And The Transition To Form 113 - Shahnawaz And Associates",124,Expert Insights from CAshahnawaz.com | Navigating the Income Tax Act 1961 & The Historic 2025 Transition,104,2,"The Ultimate Guide to Form 10BD: NGO Compliance, Rules, Penalties, and the Transition to Form 113; ",15,3047,12,0,2,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,17,5,3,service
https://cashahnawaz.com/blogs/,https://cashahnawaz.com/blogs/,200,0,,1517,254281,text/html; charset=UTF-8,"no-cache, must-revalidate, max-age=0, no-store, private",,,True,2026-06-05T06:35:53+00:00,True,https://cashahnawaz.com/blogs/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Blogs & The Knowledge Hub | Shahnawaz and Associates,52,"Shahnawaz and Associates is a legal knowledgebase center for all types of entrepreneurs to providing authentic information about your business registrations, itr services , taxation and startups.",195,1,Latest Blogs,6,1118,10,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,Article; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,757,11,1,page
https://cashahnawaz.com/blogs/19/,https://cashahnawaz.com/blogs/19/,200,0,,4564,254101,text/html; charset=UTF-8,"no-cache, must-revalidate, max-age=0, no-store, private",,,False,,True,https://cashahnawaz.com/blogs/,non-self,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Blogs & The Knowledge Hub | Shahnawaz and Associates,52,"Shahnawaz and Associates is a legal knowledgebase center for all types of entrepreneurs to providing authentic information about your business registrations, itr services , taxation and startups.",195,1,Latest Blogs,6,1134,10,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,Article; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,11,0,2,page
https://cashahnawaz.com/blogs/2/,https://cashahnawaz.com/blogs/2/,200,0,,4265,255127,text/html; charset=UTF-8,"no-cache, must-revalidate, max-age=0, no-store, private",,,False,,True,https://cashahnawaz.com/blogs/,non-self,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Blogs & The Knowledge Hub | Shahnawaz and Associates,52,"Shahnawaz and Associates is a legal knowledgebase center for all types of entrepreneurs to providing authentic information about your business registrations, itr services , taxation and startups.",195,1,Latest Blogs,6,1142,10,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,Article; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,12,0,2,page
https://cashahnawaz.com/blogs/3/,https://cashahnawaz.com/blogs/3/,200,0,,4363,255113,text/html; charset=UTF-8,"no-cache, must-revalidate, max-age=0, no-store, private",,,False,,True,https://cashahnawaz.com/blogs/,non-self,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Blogs & The Knowledge Hub | Shahnawaz and Associates,52,"Shahnawaz and Associates is a legal knowledgebase center for all types of entrepreneurs to providing authentic information about your business registrations, itr services , taxation and startups.",195,1,Latest Blogs,6,1157,10,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,Article; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,11,0,2,page
https://cashahnawaz.com/bombay-hc-cross-state-itc-transfer/,https://cashahnawaz.com/bombay-hc-cross-state-itc-transfer/,200,0,,326,321510,text/html; charset=UTF-8,,,,True,2026-06-23T09:12:44+00:00,True,https://cashahnawaz.com/bombay-hc-cross-state-itc-transfer/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Bombay HC Allows Cross-State ITC Transfer | Shahnawaz and Associates,68,"Shahnawaz and Associates explains Bombay HC ruling: Cross-state ITC transfer on amalgamation permitted under Section 18(3) CGST Act, despite GST portal restrictions.",165,1,Bombay HC Allows Cross-State ITC Transfer on Amalgamation,12,1863,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,14,4,4,page
https://cashahnawaz.com/bombay-hc-gst-bank-recovery-notice/,https://cashahnawaz.com/bombay-hc-gst-bank-recovery-notice/,200,0,,412,321726,text/html; charset=UTF-8,,,,True,2026-06-23T09:14:30+00:00,True,https://cashahnawaz.com/bombay-hc-gst-bank-recovery-notice/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Shahnawaz and Associates | Bombay HC Quashes GST Bank Recovery Notice,69,Shahnawaz and Associates explains Bombay HC ruling: GST recovery via bank under Section 79 quashed for lack of due process. Strong reminder to protect taxpayers’ rights.,169,1,Bombay High Court Quashes GST Bank Recovery Notice Under Section 79,12,1801,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,14,5,4,page
https://cashahnawaz.com/career/,https://cashahnawaz.com/career/,200,0,,412,248333,text/html; charset=UTF-8,,,,True,2024-03-20T07:40:10+00:00,True,https://cashahnawaz.com/career/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Career - Shahnawaz And Associates,33,,0,0,,5,1066,5,0,1,3,28,tel:+919819267015; tel:098192%2067015,,1,BreadcrumbList; ListItem,0,GTM-N2LHGRCX,,9,1,orphan,page
https://cashahnawaz.com/cbdt-condones-80p-deduction-ay-23-24/,https://cashahnawaz.com/cbdt-condones-80p-deduction-ay-23-24/,200,0,,483,267843,text/html; charset=UTF-8,,,,True,2026-05-06T06:12:25+00:00,True,https://cashahnawaz.com/cbdt-condones-80p-deduction-ay-23-24/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Condonation Of Delay For Cooperative Society For Assessment Year 2023-2024,74,CBDT on 30th Oct 2024 through Circular 14/2024 condones late filing of Income tax Return to claim the deduction of Section 80P for the Co operative societies,157,1,CBDT condones late filing of ITR to claim 80P deduction for Co operative Societies for AY 2023-24,7,1189,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,13,2,4,page
